WKT,code,dist_embassy,num_supermarkets
POINT (121.0042183 14.6749145),2082,4948.580210595265,181
POINT (121.0052375 14.6767411),2110,5084.787269988239,181
POINT (121.009712 14.68067),2082,5319.746370594057,180
POINT (121.0093311 14.6799482),2082,5256.165256536605,181
POINT (121.0073296 14.6783498),2082,5162.177597640866,181
POINT (121.0073185 14.6775968),2721,5084.7101270095945,181
POINT (121.0043212 14.676227),2511,5074.7466710686485,182
POINT (121.0052642 14.6770913),2301,5119.091750147672,181
POINT (121.0068593 14.67908),2302,5256.238020510355,180
POINT (121.0022639 14.675585),2511,5111.576290858352,182
